,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marca temporal,11/11/2021 13:12:00,18/11/2021 19:57:06,18/11/2021 19:58:56,18/11/2021 19:59:28,18/11/2021 20:00:32,18/11/2021 20:03:02,18/11/2021 20:05:11,18/11/2021 20:08:39,18/11/2021 20:08:54,18/11/2021 20:09:27,18/11/2021 20:09:45,18/11/2021 20:13:53,18/11/2021 20:13:54,18/11/2021 20:14:21,18/11/2021 20:16:04,18/11/2021 20:17:50,18/11/2021 20:19:22,18/11/2021 20:20:02,18/11/2021 20:29:19,18/11/2021 20:36:54,18/11/2021 20:38:07,18/11/2021 20:38:46,18/11/2021 20:47:20,18/11/2021 21:21:37,18/11/2021 21:25:21,18/11/2021 21:25:57,18/11/2021 21:33:23,18/11/2021 21:44:21,18/11/2021 21:46:33,18/11/2021 22:08:59,18/11/2021 22:34:51,18/11/2021 22:47:45,18/11/2021 22:54:41,18/11/2021 22:58:01,18/11/2021 22:59:48,18/11/2021 23:21:02,18/11/2021 23:21:19,18/11/2021 23:22:25,18/11/2021 23:23:26,18/11/2021 23:26:22,18/11/2021 23:34:25,18/11/2021 23:41:21,19/11/2021 0:34:16,19/11/2021 7:14:55,19/11/2021 8:48:23,19/11/2021 8:52:08,19/11/2021 10:03:46,19/11/2021 10:10:15,19/11/2021 10:26:11,19/11/2021 10:58:20,19/11/2021 11:26:47,19/11/2021 11:31:18,19/11/2021 12:00:04,19/11/2021 12:05:32,19/11/2021 12:08:45,19/11/2021 12:11:06,19/11/2021 12:11:17,19/11/2021 12:20:48,19/11/2021 12:20:56,19/11/2021 12:31:58,19/11/2021 12:32:47,19/11/2021 12:35:45,19/11/2021 12:40:06,19/11/2021 12:42:27,19/11/2021 12:53:34,19/11/2021 13:19:56,19/11/2021 13:24:46,19/11/2021 14:18:16,19/11/2021 14:19:42,19/11/2021 14:36:07,19/11/2021 14:41:28,19/11/2021 14:44:27,19/11/2021 15:47:26,19/11/2021 16:45:52,20/11/2021 1:19:38,20/11/2021 12:29:33,22/11/2021 10:15:19,22/11/2021 13:40:48,22/11/2021 14:27:59,22/11/2021 14:59:37,22/11/2021 16:02:20,22/11/2021 20:11:16,23/11/2021 9:21:50,23/11/2021 9:42:26,23/11/2021 9:47:53,23/11/2021 9:48:26,23/11/2021 9:48:39,23/11/2021 10:14:28,23/11/2021 10:19:50,23/11/2021 10:24:21,23/11/2021 10:35:33,23/11/2021 10:41:56,23/11/2021 10:47:09,23/11/2021 11:04:35,23/11/2021 12:34:02
¿Compartiste información sensibles con ellos?,Sí,,No,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,,,No,Sí,No,,No,No,No,No,,No,,,Sí,No,No,No,,No,No,,No,No,,No,No,,No,,No,Sí,No,No,No,No,,No,No,,No,No,,No,,Sí,No,No,,No,No,No,,No,No,No,No,,,,No,No,No,No,Sí,Sí,,No,No,,No,Sí
¿Fuiste víctima de alguna de estas opciones? ,"Negocio pirámide (Pyramid scheme), Estafa",,Negocio pirámide (Pyramid scheme),Ninguna,,Estafa,,Negocio pirámide (Pyramid scheme),,Ninguna,,Ninguna,Ninguna,Ninguna,Negocio pirámide (Pyramid scheme),Ninguna,Ninguna,Ninguna,Fraude,Estafa,Ninguna,Ninguna,Ninguna,,,"Extorsión, Negocio pirámide (Pyramid scheme)",Extorsión,Ninguna,,Ninguna,Ninguna,Ninguna,Ninguna,,Ninguna,,,Ninguna,Ninguna,Ninguna,Ninguna,,"Negocio pirámide (Pyramid scheme), Estafa, Fraude",Ninguna,,Ninguna,Extorsión,,Ninguna,Ninguna,,Ninguna,,Ninguna,Otra,Ninguna,Ninguna,Ninguna,Estafa,,"Otra, Ninguna",Otra,,Ninguna,Ninguna,,Negocio pirámide (Pyramid scheme),,Ninguna,Ninguna,Ninguna,,Ninguna,Ninguna,Ninguna,,"Extorsión, Negocio pirámide (Pyramid scheme)",Otra,Ninguna,Ninguna,,,,Estafa,Ninguna,Ninguna,Ninguna,Ninguna,"Extorsión, Negocio pirámide (Pyramid scheme), Estafa, Fraude",,Ninguna,Ninguna,,Ninguna,Ninguna
"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí
¿Hiciste lo que se te pedía en el mensaje?,Sí,No,No,,No,No,Sí,No,No,No,,No,No,,No,,,No,,Sí,No,No,No,,,,No,Sí,No,No,,No,No,,,No,No,No,No,No,No,,No,No,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,No,,No,,No,No,Sí,,,No,,,,No,No,,No,No,,No,,No,No,No
¿Reportaste la cuenta?,Sí,No,Sí,,No,Sí,No,No,Sí,No,,No,Sí,,Sí,,,Sí,,Sí,Sí,Sí,Sí,,,,Sí,No,No,No,,Sí,Sí,,,Sí,No,No,No,Sí,Sí,,Sí,No,,Sí,No,Sí,No,,Sí,No,Sí,No,No,Sí,No,Sí,No,No,Sí,No,Sí,No,,Sí,No,No,Sí,Sí,,No,,Sí,,Sí,Sí,Sí,,,No,,,,Sí,Sí,,No,Sí,,Sí,,No,No,No
¿Lees los avisos de privacidad de las páginas en las que navegas? ,A veces,Nunca,A veces,Casi nunca,Casi siempre,A veces,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,A veces,Casi siempre,Nunca,Casi nunca,A veces,Casi nunca,Nunca,Casi nunca,Casi nunca,Nunca,A veces,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,A veces,Nunca,Casi nunca,Casi nunca,Nunca,Nunca,Casi nunca,A veces,Casi nunca,Nunca,Casi nunca,Casi nunca,A veces,A veces,Casi nunca,Nunca,Nunca,Nunca,Nunca,A veces,Casi nunca,A veces,Nunca,Casi nunca,Nunca,Nunca,A veces,Nunca,Siempre,Nunca,Casi nunca,Casi nunca,Nunca,Casi siempre,Nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi siempre,Nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Nunca,A veces,A veces,A veces,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,A veces,Nunca,Casi nunca,Casi siempre,Nunca,A veces,Nunca,A veces,Nunca,Nunca
¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,No,No,Sí,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No
¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,1 a 6 meses,1 a 2 años,1 a 6 meses,1 a 6 meses,1 a 2 años,Más de 2 años,Más de 2 años,Más de 2 años,Menos de 1 mes,Más de 2 años,1 a 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,Más de 2 años,1 a 6 meses,Más de 2 años,Más de 2 años,1 a 2 años,1 a 2 años,1 a 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,7 a 12 meses,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,7 a 12 meses,1 a 2 años,7 a 12 meses,1 a 2 años,1 a 2 años,Más de 2 años,Más de 2 años,Más de 2 años,Más de 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,Más de 2 años,Más de 2 años,1 a 6 meses,7 a 12 meses,Más de 2 años,1 a 2 años,1 a 6 meses,1 a 2 años,1 a 2 años,7 a 12 meses,1 a 2 años,Más de 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,7 a 12 meses,Más de 2 años,Más de 2 años,1 a 2 años,1 a 2 años,7 a 12 meses,Más de 2 años,Más de 2 años,1 a 6 meses,Más de 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años,1 a 6 meses,1 a 2 años,1 a 2 años,Más de 2 años,1 a 2 años,Más de 2 años,Más de 2 años
¿Utilizas un administrador de contraseñas (Autofill)?,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí
¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,Sí,No,Sí,No,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí
¿Cuáles medidas tomas? ,"Cambio constante de contraseñas, Leer los avisos de privacidad, Tengo antivirus descargado en mi dispositivo",,"VF2 (autentificación de dos pasos), Leer los avisos de privacidad, Checar que la conexión sea segura antes de hacer pagos en línea",,"Cambio constante de contraseñas, Leer los avisos de privacidad, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando","VF2 (autentificación de dos pasos), Leer los avisos de privacidad, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,,,"Cambio constante de contraseñas, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,,,,,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea",,,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,Tengo antivirus descargado en mi dispositivo,,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",Checar que la conexión sea segura antes de hacer pagos en línea,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Tapar tu cámara cuando no la estés usando","Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",Tapar tu cámara cuando no la estés usando,"Cambio constante de contraseñas, VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Otro",,,,"Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea",Tapar tu cámara cuando no la estés usando,"Leer los avisos de privacidad, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,,,"VF2 (autentificación de dos pasos), Leer los avisos de privacidad, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,"VF2 (autentificación de dos pasos), Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,,,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","VF2 (autentificación de dos pasos), Leer los avisos de privacidad, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando, Otro","VF2 (autentificación de dos pasos), Checar que la conexión sea segura antes de hacer pagos en línea","Cambio constante de contraseñas, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo",,VF2 (autentificación de dos pasos),"Cambio constante de contraseñas, Tengo antivirus descargado en mi dispositivo","Cambio constante de contraseñas, Leer los avisos de privacidad, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,,"VF2 (autentificación de dos pasos), Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,,,,,,,,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo","Cambio constante de contraseñas, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando",,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo","Cambio constante de contraseñas, VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando","Cambio constante de contraseñas, VF2 (autentificación de dos pasos), Leer los avisos de privacidad, Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea",,"VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Cambio constante de contraseñas, VF2 (autentificación de dos pasos), Checar que la conexión sea segura antes de hacer pagos en línea",,"Cambio constante de contraseñas, VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea",,"Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando","VF2 (autentificación de dos pasos), Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea","Tengo antivirus descargado en mi dispositivo, Checar que la conexión sea segura antes de hacer pagos en línea, Tapar tu cámara cuando no la estés usando"
¿Qué percepción tienes acerca de los peligros que puedes correr en línea?,Me son indiferentes,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,Nunca me siento seguro y me preocupan mucho los peligros,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,No me preocupan,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Los considero importantes,Me son indiferentes,Conozco los peligros pero no me afectan,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Conozco los peligros pero no me afectan,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Me son indiferentes,Los considero importantes,Los considero importantes,No los conozco,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,Conozco los peligros pero no me afectan,Conozco los peligros pero no me afectan,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Nunca me siento seguro y me preocupan mucho los peligros,Los considero importantes,Conozco los peligros pero no me afectan,Conozco los peligros pero no me afectan,No los conozco,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Me son indiferentes,Los considero importantes,Conozco los peligros pero no me afectan,Conozco los peligros pero no me afectan,Me son indiferentes,Conozco los peligros pero no me afectan,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Nunca me siento seguro y me preocupan mucho los peligros,No los conozco,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Me son indiferentes,Los considero importantes,Conozco los peligros pero no me afectan,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan,No los conozco,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Los considero importantes,Conozco los peligros pero no me afectan
